"Year","name","value","Country"
2019,"10-14",84,"SE"
2019,"15-19",69,"SE"
2019,"20-29",108,"SE"
2019,"30-39",81,"SE"
2019,"40-49",135,"SE"
2019,"50-59",80,"SE"
2019,"60-69",34,"SE"
2019,"70-79",33,"SE"
2019,"80+",9,"SE"
2018,"00-04",128,"SE"
2018,"05-09",57,"SE"
2018,"10-14",92,"SE"
2018,"15-19",40,"SE"
2018,"20-29",81,"SE"
2018,"30-39",89,"SE"
2018,"40-49",120,"SE"
2018,"50-59",55,"SE"
2018,"60-69",30,"SE"
2018,"70-79",30,"SE"
2018,"80+",15,"SE"
2017,"00-04",133,"SE"
2017,"05-09",47,"SE"
2017,"10-14",109,"SE"
2017,"15-19",58,"SE"
2017,"20-29",83,"SE"
2017,"30-39",91,"SE"
2017,"40-49",125,"SE"
2017,"50-59",64,"SE"
2017,"60-69",39,"SE"
2017,"70-79",39,"SE"
2017,"80+",14,"SE"
2016,"00-04",127,"SE"
2016,"05-09",47,"SE"
2016,"10-14",73,"SE"
2016,"15-19",62,"SE"
2016,"20-29",85,"SE"
2016,"30-39",79,"SE"
2016,"40-49",92,"SE"
2016,"50-59",41,"SE"
2016,"60-69",34,"SE"
2016,"70-79",30,"SE"
2016,"80+",7,"SE"
2015,"00-04",127,"SE"
2015,"05-09",37,"SE"
2015,"10-14",43,"SE"
2015,"15-19",62,"SE"
2015,"20-29",77,"SE"
2015,"30-39",75,"SE"
2015,"40-49",80,"SE"
2015,"50-59",37,"SE"
2015,"60-69",37,"SE"
2015,"70-79",19,"SE"
2015,"80+",7,"SE"
